index,team,points,year
0,RBR Renault,498,2010
1,McLaren Mercedes,454,2010
2,Ferrari,396,2010
3,Mercedes,214,2010
4,Renault,163,2010
5,Williams Cosworth,69,2010
6,Force India Mercedes,68,2010
7,Sauber Ferrari,44,2010
8,STR Ferrari,13,2010
9,Lotus Cosworth,0,2010
10,HRT Cosworth,0,2010
11,Virgin Cosworth,0,2010
0,Red Bull Racing Renault,650,2011
1,McLaren Mercedes,497,2011
2,Ferrari,375,2011
3,Mercedes,165,2011
4,Renault,73,2011
5,Force India Mercedes,69,2011
6,Sauber Ferrari,44,2011
7,STR Ferrari,41,2011
8,Williams Cosworth,5,2011
9,Lotus Renault,0,2011
10,HRT Cosworth,0,2011
11,Virgin Cosworth,0,2011
0,Red Bull Racing Renault,460,2012
1,Ferrari,400,2012
2,McLaren Mercedes,378,2012
3,Lotus Renault,303,2012
4,Mercedes,142,2012
5,Sauber Ferrari,126,2012
6,Force India Mercedes,109,2012
7,Williams Renault,76,2012
8,STR Ferrari,26,2012
9,Caterham Renault,0,2012
10,Marussia Cosworth,0,2012
11,HRT Cosworth,0,2012
0,Red Bull Racing Renault,596,2013
1,Mercedes,360,2013
2,Ferrari,354,2013
3,Lotus Renault,315,2013
4,McLaren Mercedes,122,2013
5,Force India Mercedes,77,2013
6,Sauber Ferrari,57,2013
7,STR Ferrari,33,2013
8,Williams Renault,5,2013
9,Marussia Cosworth,0,2013
10,Caterham Renault,0,2013
0,Mercedes,701,2014
1,Red Bull Racing Renault,405,2014
2,Williams Mercedes,320,2014
3,Ferrari,216,2014
4,McLaren Mercedes,181,2014
5,Force India Mercedes,155,2014
6,STR Renault,30,2014
7,Lotus Renault,10,2014
8,Marussia Ferrari,2,2014
9,Sauber Ferrari,0,2014
10,Caterham Renault,0,2014
0,Mercedes,703,2015
1,Ferrari,428,2015
2,Williams Mercedes,257,2015
3,Red Bull Racing Renault,187,2015
4,Force India Mercedes,136,2015
5,Lotus Mercedes,78,2015
6,STR Renault,67,2015
7,Sauber Ferrari,36,2015
8,McLaren Honda,27,2015
9,Marussia Ferrari,0,2015
0,Mercedes,765,2016
1,Red Bull Racing TAG Heuer,468,2016
2,Ferrari,398,2016
3,Force India Mercedes,173,2016
4,Williams Mercedes,138,2016
5,McLaren Honda,76,2016
6,Toro Rosso Ferrari,63,2016
7,Haas Ferrari,29,2016
8,Renault,8,2016
9,Sauber Ferrari,2,2016
10,MRT Mercedes,1,2016
0,Mercedes,668,2017
1,Ferrari,522,2017
2,Red Bull Racing TAG Heuer,368,2017
3,Force India Mercedes,187,2017
4,Williams Mercedes,83,2017
5,Renault,57,2017
6,Toro Rosso,53,2017
7,Haas Ferrari,47,2017
8,McLaren Honda,30,2017
9,Sauber Ferrari,5,2017
0,Mercedes,655,2018
1,Ferrari,571,2018
2,Red Bull Racing TAG Heuer,419,2018
3,Renault,122,2018
4,Haas Ferrari,93,2018
5,McLaren Renault,62,2018
6,Force India Mercedes,52,2018
7,Sauber Ferrari,48,2018
8,Scuderia Toro Rosso Honda,33,2018
9,Williams Mercedes,7,2018
10,Force India Sahara,0,2018
0,Mercedes,739,2019
1,Ferrari,504,2019
2,Red Bull Racing Honda,417,2019
3,McLaren Renault,145,2019
4,Renault,91,2019
5,Scuderia Toro Rosso Honda,85,2019
6,Racing Point BWT Mercedes,73,2019
7,Alfa Romeo Racing Ferrari,57,2019
8,Haas Ferrari,28,2019
9,Williams Mercedes,1,2019
0,Mercedes,573,2020
1,Red Bull Racing Honda,319,2020
2,McLaren Renault,202,2020
3,Racing Point BWT Mercedes,195,2020
4,Renault,181,2020
5,Ferrari,131,2020
6,AlphaTauri Honda,107,2020
7,Alfa Romeo Racing Ferrari,8,2020
8,Haas Ferrari,3,2020
9,Williams Mercedes,0,2020
0,Mercedes,613.5,2021
1,Red Bull Racing Honda,585.5,2021
2,Ferrari,323.5,2021
3,McLaren Mercedes,275,2021
4,Alpine Renault,155,2021
5,AlphaTauri Honda,142,2021
6,Aston Martin Mercedes,77,2021
7,Williams Mercedes,23,2021
8,Alfa Romeo Racing Ferrari,13,2021
9,Haas Ferrari,0,2021
